@relation 'features-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R22,25'

@attribute Gender {Male,Female,Unknown,Combo}
@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute WordCount numeric
@attribute FleschReading numeric
@attribute OT numeric
@attribute NT numeric
@attribute BoM numeric
@attribute DC numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute StoryNames numeric
@attribute TalkingSpeed numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInItalics numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
Female,0.470588,0.444444,0.210014,0.402041,0,0,0.033708,0,0,0.042553,0.050633,0.309978,0.114754,0.027581,0.317127,0.072874,0.592606,0,0.014179,0.000122,1,0.984,n
Female,0.411765,0.518519,0.096643,0.361224,0,0,0.011236,0.022727,0,0.007092,0.075949,0.260726,0.016393,0.00394,0.173481,0.078947,0.025889,0,0.09631,0.000122,0.636364,0.904,n
Female,0.5,0.481481,0.241121,0.281633,0,0.065574,0.011236,0.022727,0,0.035461,0.240506,0.250113,0.155738,0.025282,0.300552,0.188259,0.480813,0.005751,0.08431,0.000122,0.090909,0.92,y
Female,0.470588,0.703704,0.322984,0.121429,0.096154,0.147541,0.067416,0.068182,1,0.283688,0.075949,0.308688,0.147541,0.001547,0.354696,0.15587,0.13422,0,0.10768,0.000122,0.181818,0.896,n
Female,0.411765,0.444444,0.218206,0.361224,0.019231,0,0.011236,0.181818,0.125,0.070922,0.177215,0.319568,0.131148,0.007912,0.270994,0.178138,0.239724,0.016512,0.006251,0.000122,1,0.992,n
Male,0.5,0.62963,0.312786,0.480612,0,0,0,0.136364,0,0.021277,0.151899,0.060149,0.032787,0.022353,0.338398,0.220648,0.079311,0,0.331184,0.000122,0.090909,0.672,y
Male,0.294118,0.333333,0.218492,0.320408,0,0.016393,0,0,0,0.014184,0.075949,0.041743,0.081967,0.016392,0.225691,0.206478,0.046775,0,0.353857,0.000122,0.181818,0.648,n
Male,0.323529,0.592593,0.218034,0.240816,0.019231,0.229508,0.05618,0.022727,0.5,0.248227,0.189873,0.232733,0.016393,0.071259,0.287017,0.080972,0.257745,0,0.064338,0.000122,0.636364,0.936,n
Male,0.382353,0.407407,0.273774,0.360204,0.019231,0.032787,0,0.022727,0,0.028369,0.126582,0.052534,0.114754,0.045408,0.283702,0.323887,0.135957,0,0.323605,0.000122,0,0.68,n
Male,0.382353,0.444444,0.302704,0.161224,0.019231,0.180328,0.101124,0.136364,0.3125,0.283688,0.037975,0.284498,0.057377,0.009076,0.312431,0.313765,0.082295,0,0.11637,0.000122,0.090909,0.888,y
